dataset,model,test_f1,f1_ci_lower,f1_ci_upper,test_precision,prec_ci_lower,prec_ci_upper,test_recall,rec_ci_lower,rec_ci_upper
UNSW-NB15,LogisticRegression,0.9286,0.9263,0.9309,0.8926,0.889,0.8963,0.9676,0.9654,0.9697
UNSW-NB15,DecisionTree,0.9521,0.9502,0.9541,0.9523,0.9496,0.9549,0.9519,0.9495,0.9547
UNSW-NB15,RandomForest,0.9612,0.9595,0.963,0.9629,0.9605,0.9653,0.9595,0.9573,0.9621
UNSW-NB15,ExtraTrees,0.9607,0.959,0.9626,0.9626,0.9601,0.965,0.9588,0.9565,0.9613
UNSW-NB15,GradientBoosting,0.9495,0.9477,0.9515,0.9483,0.9455,0.9509,0.9508,0.9482,0.9535
UNSW-NB15,AdaBoost,0.9315,0.9292,0.9337,0.9153,0.912,0.9184,0.9481,0.9455,0.951
UNSW-NB15,XGBoost,0.9591,0.9575,0.9608,0.9669,0.9646,0.9691,0.9515,0.9489,0.9542
UNSW-NB15,LightGBM,0.9575,0.9556,0.9595,0.965,0.9625,0.9673,0.9502,0.9477,0.953
UNSW-NB15,KNN,0.9442,0.9421,0.9464,0.9489,0.9463,0.9516,0.9396,0.9366,0.9426
UNSW-NB15,NaiveBayes,0.3655,0.3586,0.3726,0.9998,0.9994,1.0,0.2236,0.2185,0.2289
UNSW-NB15,LinearSVM,0.9291,0.9268,0.9314,0.8993,0.8956,0.9029,0.9609,0.9585,0.9633
UNSW-NB15,MLP,0.9537,0.9519,0.9557,0.958,0.9555,0.9607,0.9495,0.9469,0.9524
UNSW-NB15,BaggingClassifier,0.9623,0.9607,0.964,0.9648,0.9625,0.9672,0.9598,0.9574,0.9622
RT-IoT2022,LogisticRegression,0.9934,0.9925,0.9941,0.9944,0.9932,0.9955,0.9923,0.9911,0.9936
RT-IoT2022,DecisionTree,0.9991,0.9987,0.9994,0.999,0.9984,0.9994,0.9992,0.9987,0.9995
RT-IoT2022,RandomForest,0.9993,0.999,0.9995,0.9992,0.9987,0.9995,0.9994,0.999,0.9998
RT-IoT2022,ExtraTrees,0.9995,0.9993,0.9998,0.9995,0.9992,0.9998,0.9996,0.9992,0.9999
RT-IoT2022,GradientBoosting,0.9992,0.9988,0.9995,0.9992,0.9987,0.9996,0.9991,0.9986,0.9995
RT-IoT2022,AdaBoost,0.9972,0.9967,0.9978,0.9972,0.9964,0.998,0.9972,0.9963,0.9979
RT-IoT2022,XGBoost,0.9994,0.9991,0.9996,0.9993,0.9989,0.9997,0.9994,0.999,0.9998
RT-IoT2022,LightGBM,0.9995,0.9992,0.9997,0.9994,0.999,0.9998,0.9995,0.9992,0.9998
RT-IoT2022,KNN,0.9985,0.9981,0.9989,0.998,0.9973,0.9987,0.999,0.9986,0.9995
RT-IoT2022,NaiveBayes,0.9706,0.9687,0.9724,0.9655,0.9628,0.9682,0.9757,0.9735,0.978
RT-IoT2022,LinearSVM,0.9921,0.9911,0.9929,0.993,0.9917,0.9942,0.9911,0.9898,0.9925
RT-IoT2022,MLP,0.9986,0.9982,0.999,0.9985,0.9978,0.9991,0.9988,0.9983,0.9993
RT-IoT2022,BaggingClassifier,0.9991,0.9988,0.9994,0.9992,0.9987,0.9996,0.9991,0.9986,0.9995
TON_IoT,LogisticRegression,0.9726,0.9711,0.9741,0.9703,0.9681,0.9722,0.975,0.9731,0.9769
TON_IoT,DecisionTree,0.9989,0.9986,0.9992,0.9991,0.9988,0.9995,0.9988,0.9983,0.9992
TON_IoT,RandomForest,0.9992,0.999,0.9995,0.999,0.9986,0.9994,0.9994,0.9991,0.9997
TON_IoT,ExtraTrees,0.9993,0.999,0.9995,0.9992,0.9988,0.9995,0.9994,0.9991,0.9997
TON_IoT,GradientBoosting,0.9972,0.9967,0.9977,0.9975,0.9969,0.9981,0.9969,0.9961,0.9975
TON_IoT,AdaBoost,0.9924,0.9915,0.993,0.9878,0.9864,0.9891,0.997,0.9963,0.9976
TON_IoT,XGBoost,0.9992,0.9989,0.9994,0.9992,0.9988,0.9995,0.9991,0.9987,0.9995
TON_IoT,LightGBM,0.9992,0.999,0.9995,0.9993,0.999,0.9996,0.9991,0.9987,0.9995
TON_IoT,KNN,0.9971,0.9966,0.9976,0.9967,0.996,0.9974,0.9976,0.9969,0.9981
TON_IoT,NaiveBayes,0.9963,0.9957,0.9968,0.9944,0.9934,0.9952,0.9983,0.9977,0.9988
TON_IoT,LinearSVM,0.9719,0.9704,0.9734,0.9701,0.9678,0.972,0.9738,0.9718,0.9757
TON_IoT,MLP,0.9963,0.9957,0.9968,0.9944,0.9934,0.9952,0.9983,0.9977,0.9988
TON_IoT,BaggingClassifier,0.9992,0.9989,0.9994,0.9993,0.9989,0.9996,0.9991,0.9987,0.9995
CICIoT2023,LogisticRegression,0.9942,0.9941,0.9943,0.9933,0.9932,0.9935,0.9951,0.9949,0.9952
CICIoT2023,DecisionTree,0.9983,0.9983,0.9984,0.9983,0.9982,0.9983,0.9984,0.9983,0.9984
CICIoT2023,RandomForest,0.9988,0.9987,0.9988,0.9991,0.999,0.9991,0.9985,0.9985,0.9986
CICIoT2023,ExtraTrees,0.9985,0.9985,0.9986,0.9989,0.9989,0.999,0.9981,0.9981,0.9982
CICIoT2023,GradientBoosting,0.9982,0.9982,0.9983,0.9985,0.9984,0.9986,0.9979,0.9978,0.998
CICIoT2023,AdaBoost,0.9969,0.9968,0.9969,0.9977,0.9977,0.9978,0.996,0.9959,0.9961
CICIoT2023,XGBoost,0.9976,0.9976,0.9977,0.997,0.9969,0.9971,0.9983,0.9983,0.9984
CICIoT2023,LightGBM,0.9983,0.9983,0.9984,0.9989,0.9988,0.999,0.9978,0.9977,0.9978
CICIoT2023,NaiveBayes,0.9722,0.972,0.9724,0.9999,0.9999,1.0,0.9459,0.9455,0.9464
CICIoT2023,LinearSVM,0.9942,0.9941,0.9943,0.9933,0.9931,0.9934,0.9951,0.995,0.9952
CICIoT2023,MLP,0.997,0.997,0.9971,0.9982,0.9982,0.9983,0.9958,0.9957,0.9959
CICIoT2023,BaggingClassifier,0.9988,0.9988,0.9988,0.9991,0.999,0.9991,0.9985,0.9984,0.9986
UNSW-NB15,CatBoost,0.9611,0.9593,0.9628,0.9650,0.9626,0.9673,0.9572,0.9548,0.9597
RT-IoT2022,CatBoost,0.9992,0.9989,0.9995,0.9991,0.9986,0.9995,0.9993,0.9989,0.9997
TON_IoT,CatBoost,0.9985,0.9981,0.9988,0.9989,0.9985,0.9993,0.9981,0.9975,0.9986
CICIoT2023,CatBoost,0.9980,0.9979,0.9980,0.9983,0.9983,0.9984,0.9976,0.9975,0.9977
