dataset,model,F1_overall,F1_normal,F1_attack
UNSW-NB15,LogisticRegression,0.9286,0.8576,0.9286
UNSW-NB15,DecisionTree,0.9521,0.9152,0.9521
UNSW-NB15,RandomForest,0.9612,0.9316,0.9612
UNSW-NB15,ExtraTrees,0.9607,0.9308,0.9607
UNSW-NB15,GradientBoosting,0.9495,0.9103,0.9495
UNSW-NB15,AdaBoost,0.9315,0.8724,0.9315
UNSW-NB15,XGBoost,0.9591,0.9292,0.9591
UNSW-NB15,LightGBM,0.9575,0.9263,0.9575
UNSW-NB15,CatBoost,0.9611,0.9318,0.9611
UNSW-NB15,KNN,0.9442,0.9025,0.9442
UNSW-NB15,NaiveBayes,0.3655,0.5926,0.3655
UNSW-NB15,LinearSVM,0.9291,0.8617,0.9291
UNSW-NB15,MLP,0.9537,0.9191,0.9537
UNSW-NB15,BaggingClassifier,0.9623,0.9337,0.9623
RT-IoT2022,LogisticRegression,0.9934,0.9419,0.9934
RT-IoT2022,DecisionTree,0.9991,0.9917,0.9991
RT-IoT2022,RandomForest,0.9993,0.9936,0.9993
RT-IoT2022,ExtraTrees,0.9995,0.996,0.9995
RT-IoT2022,GradientBoosting,0.9992,0.9925,0.9992
RT-IoT2022,AdaBoost,0.9972,0.9755,0.9972
RT-IoT2022,XGBoost,0.9994,0.9944,0.9994
RT-IoT2022,LightGBM,0.9995,0.9952,0.9995
RT-IoT2022,CatBoost,0.9992,0.9931,0.9992
RT-IoT2022,KNN,0.9985,0.9869,0.9985
RT-IoT2022,NaiveBayes,0.9706,0.7254,0.9706
RT-IoT2022,LinearSVM,0.9921,0.9305,0.9921
RT-IoT2022,MLP,0.9986,0.988,0.9986
RT-IoT2022,BaggingClassifier,0.9991,0.9923,0.9991
TON_IoT,LogisticRegression,0.9726,0.911,0.9726
TON_IoT,DecisionTree,0.9989,0.9966,0.9989
TON_IoT,RandomForest,0.9992,0.9975,0.9992
TON_IoT,ExtraTrees,0.9993,0.9977,0.9993
TON_IoT,GradientBoosting,0.9972,0.991,0.9972
TON_IoT,AdaBoost,0.9924,0.9749,0.9924
TON_IoT,XGBoost,0.9992,0.9973,0.9992
TON_IoT,LightGBM,0.9992,0.9975,0.9992
TON_IoT,CatBoost,0.9985,0.9952,0.9985
TON_IoT,KNN,0.9971,0.9907,0.9971
TON_IoT,NaiveBayes,0.9963,0.988,0.9963
TON_IoT,LinearSVM,0.9719,0.9088,0.9719
TON_IoT,MLP,0.9963,0.988,0.9963
TON_IoT,BaggingClassifier,0.9992,0.9975,0.9992
CICIoT2023,LogisticRegression,0.9942,0.7503,0.9942
CICIoT2023,DecisionTree,0.9983,0.9298,0.9983
CICIoT2023,RandomForest,0.9988,0.9504,0.9988
CICIoT2023,ExtraTrees,0.9985,0.9406,0.9985
CICIoT2023,GradientBoosting,0.9982,0.9272,0.9982
CICIoT2023,AdaBoost,0.9969,0.8745,0.9969
CICIoT2023,XGBoost,0.9976,0.8995,0.9976
CICIoT2023,LightGBM,0.9983,0.9323,0.9983
CICIoT2023,CatBoost,0.998,0.9172,0.998
CICIoT2023,NaiveBayes,0.9722,0.4706,0.9722
CICIoT2023,LinearSVM,0.9942,0.7495,0.9942
CICIoT2023,MLP,0.997,0.8831,0.997
CICIoT2023,BaggingClassifier,0.9988,0.9508,0.9988
